episode_run_time,first_air_date,genres,id,languages,name,networks,number_of_episodes,number_of_seasons,origin_country,original_language,overview,popularity,poster_path,production_companies,spoken_languages,vote_average,vote_count,Action & Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Kids,Mystery,News,Reality,Romance,Sci-Fi & Fantasy,Soap,Talk,War & Politics,Western
[26],2018-08-27,['Soap'],81329.0,['fr'],Chronicles of the Sun,"[{'id': 249, 'logo_path': '/1ePfTUHHvBlVQxa0Fltx5kWhIs5.png', 'name': 'France 3', 'origin_country': 'FR'}, {'id': 361, 'logo_path': '/b1cFa5FcHHnpejKiPybXSPcqKjT.png', 'name': 'France 2', 'origin_country': 'FR'}]",1503.0,6.0,['FR'],fr,Claire is surprised when she gets arrested for the murder of her childhood friend after she returns to Montpellier.,3508.391,/t6jVlbPMtZOJoAOfeoR4yQmnjXM.jpg,"[{'id': 7131, 'logo_path': '/qpFsGoa96SytbWkhtkkpllu5Cch.png', 'name': 'France Télévisions', 'origin_country': 'FR'}, {'id': 73809, 'logo_path': None, 'name': 'Epeios Productions', 'origin_country': ''}, {'id': 118346, 'logo_path': '/rwBUYPwdQUC9PqWAQAxLK8Fx1p0.png', 'name': 'France.tv Studio', 'origin_country': 'FR'}]","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",7.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
[],2023-01-09,"['Family', 'Comedy']",218145.0,['sk'],Mom for rent,"[{'id': 550, 'logo_path': '/e3v7L2zlVEO1GLH7pv0f1CNFIeK.png', 'name': 'Markíza', 'origin_country': 'SK'}]",334.0,4.0,['SK'],sk,"Abandoned by his wife, Martin is lying to his daughter not to be upset. But as Hanka grows, these lies become unbearable. Martin meets Nada unexpectedly, asked her to be a rent-a-mother and all lives are completely changed.",3211.108,/fH7PP2Rkdlo414IHvZABBHhtoqd.jpg,"[{'id': 94720, 'logo_path': None, 'name': 'Markíza Slovakia', 'origin_country': 'SK'}]","[{'english_name': 'Slovak', 'iso_639_1': 'sk', 'name': 'Slovenčina'}]",5.1,27.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[28],2020-11-02,"['Soap', 'Drama']",112470.0,['fr'],Ici tout commence,"[{'id': 290, 'logo_path': '/fqsd09CrijoGu6qfoNIdgUQmVGO.png', 'name': 'TF1', 'origin_country': 'FR'}]",1037.0,4.0,['FR'],fr,"This television drama series is centered around the prestigious culinary school of renowned chef Auguste Armand. The show follows the lives of students and staff as they navigate the challenges and pressures of the culinary world—delving into their personal and professional lives, revealing secrets, rivalries, and complex relationships.",3187.093,/yuTHx38jpogXovMhqNatvozigMJ.jpg,"[{'id': 23448, 'logo_path': '/rKUrVCN0CkbrsaX3iO6bdx1cHYJ.png', 'name': 'Telfrance', 'origin_country': 'FR'}, {'id': 35953, 'logo_path': '/n4OA4cWRIjyGPVz6y7BXydyHSKU.png', 'name': 'TF1 Production', 'origin_country': 'FR'}]","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",7.0,53.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
[10],2014-05-26,"['Soap', 'Drama']",82708.0,['nl'],The First Years,[],756.0,13.0,['NL'],nl,The First Years is a Dutch series for young people in which real-life situations are recreated. The series sheds light on subjects that pupils in the first year of secondary school may be confronted with.,3148.747,/klPqN1oITjVub0Yss0Kqnx8NfY3.jpg,"[{'id': 109520, 'logo_path': '/wK0YR28dUxiQxPjuy8GXHmGPZoS.png', 'name': 'Tuvalu Media', 'origin_country': 'NL'}]","[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}]",4.6,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
[50],2024-07-01,"['Soap', 'Action & Adventure', 'Drama']",247884.0,['es'],"Fugitivas, en busca de la libertad","[{'id': 487, 'logo_path': '/6ROTTOqsZo3XefxZAYowukFdJ6w.png', 'name': 'Las Estrellas', 'origin_country': 'MX'}]",85.0,1.0,['MX'],es,"Lorena, Frida, Lisset and Montse, four friends who are in prison serving a sentence. One of them is accused unjustly. In the prison where they are held there is a massive escape and they escape. After their escape, the fugitives take refuge in a bar looking for the opportunity to start a new life.",2845.273,/oqHWSZmoCgz7JPsbNXihASGnfLW.jpg,[],"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",7.481,27.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
[],2024-05-06,['Drama'],248155.0,['ko'],The Brave Yong Su Jeong,"[{'id': 97, 'logo_path': '/pOSCKaZhndUFYtxHXjQOV6xJi1s.png', 'name': 'MBC', 'origin_country': 'KR'}]",112.0,1.0,['KR'],ko,"An ingenuous home-shopping host Yong Sujeong dreams of becoming a successful businesswoman who wins people before money. After losing her parents as a kid, she travels around the country with tinker Yong Jangwon and grows up as a strong woman full of courage. She may look fierce on the outside, but in fact, she is a softhearted, clumsy crybaby and a dork who cannot even make eye contact with her crush, Ju Ujin. Meanwhile, there is Yeo Uiju, a man who gets on her nerves by loafing around her. As a soldier, he is more logical rather than empathetic, but he passes out whenever he gets drunk. He loses his face after meeting Sujeong, who drinks like a fish, but he starts to fall for her. By a twist of fate, he realizes he is the second grandson of Masung Group, and his older brother is Sujeong's crush, Ujin.",2820.076,/v0Ld4z1pn61Ojb6ujfsyTZoFNPV.jpg,"[{'id': 136349, 'logo_path': '/cFFJ5oRzrpzuWjd1QV1VJ4N7rKT.png', 'name': 'MBC C&I', 'origin_country': 'KR'}]","[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",7.2,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[29],2004-10-25,[],4682.0,['en'],Strictly Come Dancing: It Takes Two,"[{'id': 332, 'logo_path': '/7HVPn1p2w1nC5oRKBehXVHpss7e.png', 'name': 'BBC Two', 'origin_country': 'GB'}]",331.0,21.0,['GB'],en,"The companion show to the popular BBC One programme Strictly Come Dancing which features interviews and training footage of the couples competing in the main Saturday night show, opinions from the judges on the previous Saturday show and the training footage for the next, and interviews with celebrities who have been watching the show.",2780.599,/1UOKLsJ3bopZHg6ntRfmO4C5Gcm.jpg,[],"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[],2024-05-06,['Soap'],249010.0,['af'],Kelders van Geheime,"[{'id': 5225, 'logo_path': '/sJ4g8v6i4xWfGwuAvm8Unb5wZhU.png', 'name': 'e.tv', 'origin_country': 'ZA'}]",129.0,1.0,['ZA'],af,"Kelders van Geheime (Cellars of Secrets) is a South African, Afrikaans-language telenovela based on the wheeling's and dealings of the community that lives on Soebatskloof (a wine farm in the Cape). The series focuses on three families: the Abrahams, Syster and Marais households. These families will have to stand together, agree (or agree to disagree), and work together to earn their bread and butter – and a glass of wine.",2731.079,/vf1I0G5jICTstI1EXxb9Oqq80TU.jpg,"[{'id': 115021, 'logo_path': None, 'name': 'KFilms', 'origin_country': ''}]","[{'english_name': 'Afrikaans', 'iso_639_1': 'af', 'name': 'Afrikaans'}]",6.167,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
[],2024-03-18,['Reality'],248890.0,['en'],Ready Steady Cook South Africa,"[{'id': 5732, 'logo_path': '/7DMfyRszb1IVyhNgZB0r6U2poE.png', 'name': 'SABC 3', 'origin_country': 'ZA'}]",260.0,1.0,['ZA'],en,"In Ready Steady Cook, two teams - a Red Tomato and a Green Pepper - compete in a Red Kitchen and a Green Kitchen, together with a South African chef on each side and paired with enthusiastic home cooks, as they are challenged creatively with a mystery bag of ingredients in a 20-minute cook-off.",2697.154,/30xX4IMbgnMbQwo76xM4BOSokZO.jpg,"[{'id': 117889, 'logo_path': None, 'name': 'Primedia Productions', 'origin_country': ''}, {'id': 179682, 'logo_path': None, 'name': 'Rose and Oaks Media', 'origin_country': 'ZA'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",2.125,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
[50],2005-09-05,"['Drama', 'Comedy']",36361.0,['cs'],Ulice,"[{'id': 711, 'logo_path': '/twuMX6vryssdv8oY01ZD5eNTKLt.png', 'name': 'TV Nova', 'origin_country': 'CZ'}, {'id': 5174, 'logo_path': '/urFAfEj1atKaaI9fMyvsdaaXqfB.png', 'name': 'Voyo', 'origin_country': 'CZ'}]",4052.0,20.0,['CZ'],cs,"Ulice is a Czech soap opera produced and broadcast by Nova. In the Czech language Ulice means street.

The show describes the lives of the Farský, Jordán, Boháč, Nikl, and Liška families and many other people that live in Prague. Their daily battle against real problems of living in a modern world like divorce, love, betrayal and illness or disease. Ulice often shows crime.",2460.636,/gFEHva8Csx18hMGJJZ6gi4sFSKR.jpg,"[{'id': 119646, 'logo_path': None, 'name': 'CET 21', 'origin_country': 'CZ'}, {'id': 31292, 'logo_path': None, 'name': 'TV Nova', 'origin_country': 'CZ'}]","[{'english_name': 'Czech', 'iso_639_1': 'cs', 'name': 'Český'}]",3.6,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
